ind	var	type	feature_posi	min_40	max_60	min_25	max_75	median	min_10	max_90	mean
P. echinospica	meth_depth	exon	2	0.215975212380953	0.812480125714286	0.0714286	0.886378571969697	0.6801485	0.0333333	0.93888605	0.511078147761854
P. echinospica	meth_depth	exon	3	0.560698657142857	0.846266706666666	0.0871093447368421	0.902017086538462	0.776671166666667	0.039270684	0.947368	0.56347467141381
P. echinospica	meth_depth	exon	4	0.675	0.8597508	0.096982165	0.906632220982143	0.8067495	0.0416667	0.9491524875	0.591039005668407
P. echinospica	meth_depth	exon	5	0.7434526	0.869771714285714	0.117647	0.910909892857143	0.827586	0.04189048	0.950291458333333	0.617498203717231
P. echinospica	meth_depth	exon	6	0.764967	0.875	0.153846	0.9127328	0.8342105	0.047619	0.952381	0.634375764087664
P. echinospica	meth_depth	exon	7	0.767121313333333	0.876709262222222	0.193334925	0.9165125	0.83973195	0.0497827793333333	0.954174865	0.6435230611088
P. echinospica	meth_depth	exon	8	0.791542833333333	0.882353	0.333333	0.918981666666667	0.85	0.05	0.9550852	0.658507642431493
P. echinospica	meth_depth	exon	9	0.8048235	0.88462225	0.3791449375	0.919814625	0.85229345	0.05118733	0.956234877142857	0.667229426069678
P. echinospica	meth_depth	exon	10	0.80971216	0.884954368421053	0.5145465	0.920354571428571	0.8568095	0.0531281	0.95590455	0.676611505316384
P. echinospica	meth_depth	exon	11	0.806970633333333	0.883272	0.52311675	0.921434428571429	0.85201155	0.0526316	0.957232215555556	0.67820263132323
P. echinospica	meth_depth	exon	12	0.809489733333333	0.884987866666667	0.591272875	0.922107539772727	0.854087243421053	0.0555556	0.956522	0.685799114441471
P. echinospica	meth_depth	exon	13	0.81888636	0.8880226	0.6314145	0.9216173	0.86127175	0.05886086	0.9565436	0.695722187201835
P. echinospica	meth_depth	exon	14	0.823138355555555	0.888881685714286	0.650498666666667	0.923483759523809	0.859410285714286	0.0583009224242424	0.961653812179487	0.700903820895402
P. echinospica	meth_depth	exon	15	0.818445233333333	0.889323136363636	0.6773805	0.920960375	0.859701628571429	0.0655167908333333	0.954476897058824	0.707078171809257
P. echinospica	meth_depth	exon	16	0.812188895238095	0.885592533333333	0.644664	0.921633714285714	0.8575816	0.06937168	0.95844844	0.700876592655097
P. echinospica	meth_depth	exon	17	0.8169258	0.886084133333333	0.643423	0.919068958333333	0.857211333333333	0.05849671	0.954424466666667	0.69819057051634
P. echinospica	meth_depth	exon	18	0.810552613333333	0.8853904	0.649787833333333	0.922544916666667	0.857347758333333	0.0629446575	0.959819866666667	0.702135609315308
P. echinospica	meth_depth	exon	19	0.81177373	0.887201008888889	0.617474416666667	0.920362641608391	0.856364107142857	0.0612378725	0.955662816666667	0.696274627334861
P. echinospica	meth_depth	exon	20	0.809873942857143	0.880904533333333	0.61853140625	0.920058285714286	0.848711266666667	0.0555438790909091	0.954458005	0.689727193282786
P. echinospica	meth_depth	exon	21	0.8139022	0.8855586	0.597888125	0.922727231578947	0.853843666666667	0.0526316	0.9577698	0.689225493333913
P. echinospica	meth_depth	exon	22	0.811570163636364	0.890058683333333	0.574856	0.923061916666667	0.858974	0.0588235	0.957970964444444	0.68576152130927
P. echinospica	meth_depth	exon	23	0.8059525	0.885825428571429	0.574405	0.921094	0.861111333333333	0.0592949	0.954694142857143	0.685942496638504
P. echinospica	meth_depth	exon	24	0.79774744	0.87638428	0.587652357142857	0.915980278846154	0.846579325	0.05845375	0.9541152125	0.673128248922517
P. echinospica	meth_depth	exon	25	0.793033344444444	0.87599005	0.507224	0.917298	0.847471333333333	0.0555556	0.95427292	0.670496358309297
P. echinospica	meth_depth	exon	26	0.79319282	0.87506076	0.387809954545455	0.916658386363636	0.846246307692308	0.05132347	0.956521933333333	0.663049019171858
P. echinospica	meth_depth	exon	27	0.789846496969697	0.877937316666667	0.335353571428571	0.91724175	0.8365038	0.0497074	0.9514010675	0.657547346998454
P. echinospica	meth_depth	exon	28	0.776840569230769	0.878271343589744	0.275909333333333	0.918937888888889	0.849074111111111	0.05469324	0.959502544444444	0.653706290503285
P. echinospica	meth_depth	exon	29	0.767853142105263	0.8738635	0.16297346875	0.91811965	0.837881901960784	0.0452208973333333	0.957579025	0.639010298001951
P. echinospica	meth_depth	exon	30	0.777327550909091	0.863948355555555	0.162365366666667	0.906548722222222	0.824011333333333	0.04324824	0.945990248888889	0.638770330998809
P. echinospica	meth_depth	exon	31	0.767321	0.862882572307692	0.17491875	0.909211393333333	0.826137125	0.04615507	0.951921181818182	0.627586866765954
P. echinospica	meth_depth	exon	32	0.71125	0.83983774	0.125	0.90625	0.789474	0.04553027	0.951083028571429	0.607445157180161
P. echinospica	meth_depth	exon	33	0.7161205	0.8626985	0.239389125	0.915882328571428	0.82138025	0.0590592	0.94819655075188	0.641174651114328
P. echinospica	meth_depth	exon	34	0.7569278	0.859796913333333	0.211277	0.901394157894737	0.84	0.04700001	0.9368938	0.635888269785705
P. echinospica	meth_depth	exon	35	0.717967273391304	0.836541838095238	0.1432655625	0.9044568125	0.801124330357143	0.050814914	0.94770345	0.619460590259975
P. echinospica	meth_depth	exon	36	0.76830236	0.847521714285714	0.13497013125	0.88948225	0.802713491071429	0.0436571925	0.94034565	0.623781670667399
