TSS_idx	binary_idx	binary_mRNA_count	variable	window_meth_freq_50	window_freq_quantiles_min	window_freq_quantiles_max	window_CpGoe_50	window_CpGoe_quantiles_min	window_CpGoe_quantiles_max	group	genome
-47	NA1	NA	20	0.7652339235	0.69480116	0.81525341822	0.478352	0.3931082	0.5368972	0	Pec
-47	NA1	NA	50	0.7652339235	0.4850766875	0.86119436365	0.478352	0.3323085	0.7369835	0	Pec
-47	NA1	NA	80	0.7652339235	0.024863466456	0.90539330668	0.478352	0.2183226	1.069254	0	Pec
-47	NANA	NA	20	0.042256893335	0.032289098976	0.077506824762	0.7688245	0.6187666	0.8851304	0	Pec
-47	NANA	NA	50	0.042256893335	0.02210386035	0.55836289585	0.7688245	0.43069975	1.03382	0	Pec
-47	NANA	NA	80	0.042256893335	0.0099882480556	0.84832334284	0.7688245	0.2760142	1.218769	0	Pec
-46	00	NA	20	0.029108296255	0.024642610964	0.033999019494	0.8842655	0.787119	0.964755	1	Pec
-46	00	NA	50	0.029108296255	0.0189094488475	0.04693122868	0.8842655	0.63272325	1.088785	1	Pec
-46	00	NA	80	0.029108296255	0.011755422389	0.47501640845	0.8842655	0.4266294	1.257989	1	Pec
-46	01	NA	20	0.47591073235	0.066129601522	0.7106312746	0.6549415	0.554287	0.7498648	0	Pec
-46	01	NA	50	0.47591073235	0.0293427330025	0.839922372675	0.6549415	0.43538325	0.949755	0	Pec
-46	01	NA	80	0.47591073235	0.01630909	0.90375178376	0.6549415	0.3066302	1.175404	0	Pec
-46	0NA	NA	20	0.031999235515	0.025946121782	0.035837725768	0.8869545	0.7412724	0.918009	0	Pec
-46	0NA	NA	50	0.031999235515	0.0202023864675	0.0592430324075	0.8869545	0.57806475	1.062525	0	Pec
-46	0NA	NA	80	0.031999235515	0.011674347502	0.61713087667	0.8869545	0.2847402	1.245472	0	Pec
-46	10	NA	20	0.7454044615	0.68276673334	0.81458313336	0.558772	0.4817598	0.6273136	0	Pec
-46	10	NA	50	0.7454044615	0.4437930945	0.8641692704	0.558772	0.3725455	0.773618	0	Pec
-46	10	NA	80	0.7454044615	0.037223343296	0.91064872146	0.558772	0.2493668	0.9994914	0	Pec
-46	11	NA	20	0.78548364545	0.72485717	0.8297270102	0.5291955	0.462143	0.5983054	1	Pec
-46	11	NA	50	0.78548364545	0.5632133333	0.8733771875	0.5291955	0.3679025	0.76092575	1	Pec
-46	11	NA	80	0.78548364545	0.043102456	0.91459612161	0.5291955	0.233421	1.001227	1	Pec
-46	1NA	NA	20	0.7689592619	0.7056269722	0.8213857692	0.574512	0.493521	0.612501	0	Pec
-46	1NA	NA	50	0.7689592619	0.438842360875	0.859260247775	0.574512	0.391334	0.761954	0	Pec
-46	1NA	NA	80	0.7689592619	0.03547058878	0.89886261485	0.574512	0.2007155	0.913783	0	Pec
-46	NA0	NA	20	0.02857682069	0.023982732198	0.03525330173	0.778638	0.6623112	0.8505056	0	Pec
-46	NA0	NA	50	0.02857682069	0.01870183709	0.05299626889	0.778638	0.4807115	1.063785	0	Pec
-46	NA0	NA	80	0.02857682069	0.0081673310202	0.61348294032	0.778638	0.1685894	1.208334	0	Pec
-46	NA1	NA	20	0.7614282879	0.6663744889	0.80132041376	0.465463	0.4032496	0.5754534	0	Pec
-46	NA1	NA	50	0.7614282879	0.4504327125	0.863556795	0.465463	0.32589725	0.71094175	0	Pec
-46	NA1	NA	80	0.7614282879	0.028105117585	0.90151082249	0.465463	0.1890428	0.9962826	0	Pec
-46	NANA	NA	20	0.04642773103	0.031310622096	0.09090902	0.744239	0.5943538	0.8576746	0	Pec
-46	NANA	NA	50	0.04642773103	0.022178484	0.5790184921	0.744239	0.426602	1.009105	0	Pec
-46	NANA	NA	80	0.04642773103	0.010789247184	0.8507119024	0.744239	0.2808836	1.1738	0	Pec
-45	00	NA	20	0.029077360205	0.024733547056	0.034224545712	0.881385	0.7945782	0.9659644	1	Pec
-45	00	NA	50	0.029077360205	0.019072761535	0.046936021505	0.881385	0.62707675	1.090185	1	Pec
-45	00	NA	80	0.029077360205	0.012297365779	0.46846736526	0.881385	0.4234224	1.25666	1	Pec
-45	01	NA	20	0.4650967571	0.065353322498	0.70449858664	0.652827	0.557972	0.7609746	0	Pec
-45	01	NA	50	0.4650967571	0.02929205577	0.84113595895	0.652827	0.431352	0.9425325	0	Pec
-45	01	NA	80	0.4650967571	0.016698242586	0.90159921384	0.652827	0.295771	1.172932	0	Pec
-45	0NA	NA	20	0.0300329525	0.025165073956	0.036979819592	0.8520115	0.720257	0.9127334	0	Pec
-45	0NA	NA	50	0.0300329525	0.0180506929325	0.058969223975	0.8520115	0.494044	1.04975	0	Pec
-45	0NA	NA	80	0.0300329525	0.011665496994	0.56905516007	0.8520115	0.2692598	1.210263	0	Pec
-45	10	NA	20	0.737611125	0.67090783456	0.81193504	0.555544	0.4916636	0.6243332	0	Pec
-45	10	NA	50	0.737611125	0.4189669318	0.8613818278	0.555544	0.369678	0.767985	0	Pec
-45	10	NA	80	0.737611125	0.040209011276	0.90986044	0.555544	0.2300904	0.9994036	0	Pec
-45	11	NA	20	0.7862768889	0.72727414546	0.82718668334	0.528614	0.4607438	0.6000474	1	Pec
-45	11	NA	50	0.7862768889	0.57274815875	0.8735842931	0.528614	0.3670745	0.7495285	1	Pec
-45	11	NA	80	0.7862768889	0.044488090942	0.91432304942	0.528614	0.231043	1.004542	1	Pec
-45	1NA	NA	20	0.76600325625	0.6734155455	0.8094048	0.5695245	0.487342	0.60904	0	Pec
-45	1NA	NA	50	0.76600325625	0.519564482725	0.8638962318	0.5695245	0.37596225	0.72144875	0	Pec
-45	1NA	NA	80	0.76600325625	0.041603071625	0.9056821012	0.5695245	0.165835	0.9213965	0	Pec
-45	NA0	NA	20	0.02839832488	0.024462379446	0.036174749602	0.7710755	0.641698	0.9031414	0	Pec
-45	NA0	NA	50	0.02839832488	0.0170808188825	0.0591311630325	0.7710755	0.43907125	1.0092525	0	Pec
-45	NA0	NA	80	0.02839832488	0.0078656115221	0.6174408742	0.7710755	0.2728433	1.26895	0	Pec
-45	NA1	NA	20	0.748089875	0.66623800796	0.7783027875	0.4774005	0.4188308	0.5705668	0	Pec
-45	NA1	NA	50	0.748089875	0.464230851075	0.842424708775	0.4774005	0.3278855	0.694882	0	Pec
-45	NA1	NA	80	0.748089875	0.025507707257	0.91407626891	0.4774005	0.1528242	0.9599064	0	Pec
-45	NANA	NA	20	0.04298980303	0.032211052264	0.092753672858	0.709241	0.6083056	0.8285108	0	Pec
-45	NANA	NA	50	0.04298980303	0.024294026945	0.57012516665	0.709241	0.430103	0.984068	0	Pec
-45	NANA	NA	80	0.04298980303	0.013041485722	0.84372949568	0.709241	0.2461356	1.18271	0	Pec
-44	00	NA	20	0.02907873281	0.024817870766	0.034093101184	0.886783	0.7949652	0.9655548	1	Pec
-44	00	NA	50	0.02907873281	0.01904762174	0.04676341905	0.886783	0.632579	1.08547	1	Pec
-44	00	NA	80	0.02907873281	0.012161110232	0.438568232	0.886783	0.4258788	1.263206	1	Pec
-44	01	NA	20	0.45530454165	0.06363744	0.6971796	0.657363	0.557728	0.765329	0	Pec
-44	01	NA	50	0.45530454165	0.02908468012	0.839675023775	0.657363	0.43479025	0.94801575	0	Pec
-44	01	NA	80	0.45530454165	0.01629852143	0.9007060751	0.657363	0.3033675	1.17179	0	Pec
-44	0NA	NA	20	0.02900070409	0.023944233046	0.037803129848	0.8290755	0.6829022	0.946135	0	Pec
-44	0NA	NA	50	0.02900070409	0.0187495678625	0.0674727417375	0.8290755	0.4970475	1.0680025	0	Pec
-44	0NA	NA	80	0.02900070409	0.01193271523	0.53353504625	0.8290755	0.3096523	1.204324	0	Pec
-44	10	NA	20	0.7406658667	0.65739216566	0.80934852272	0.553393	0.4857156	0.6181148	0	Pec
-44	10	NA	50	0.7406658667	0.4263721278	0.8643441739	0.553393	0.368015	0.781345	0	Pec
-44	10	NA	80	0.7406658667	0.037307829346	0.9168110273	0.553393	0.2488478	1.011126	0	Pec
-44	11	NA	20	0.78474075455	0.72988597774	0.82784085356	0.5328615	0.463546	0.603376	1	Pec
-44	11	NA	50	0.78474075455	0.580128650025	0.87496144115	0.5328615	0.36362525	0.74937	1	Pec
-44	11	NA	80	0.78474075455	0.045648580609	0.91543216873	0.5328615	0.231713	0.9923569	1	Pec
-44	1NA	NA	20	0.7385069697	0.67958942	0.81372405412	0.562866	0.4734658	0.6327826	0	Pec
-44	1NA	NA	50	0.7385069697	0.4979469667	0.8654837	0.562866	0.324242	0.802684	0	Pec
-44	1NA	NA	80	0.7385069697	0.036108018572	0.90934015402	0.562866	0.1831002	0.9214888	0	Pec
-44	NA0	NA	20	0.028417981315	0.024486964694	0.037674003576	0.7858635	0.659638	0.9013028	0	Pec
-44	NA0	NA	50	0.028417981315	0.0185611714125	0.055799985	0.7858635	0.45315025	1.07398	0	Pec
-44	NA0	NA	80	0.028417981315	0.0091511765152	0.62983128625	0.7858635	0.1577657	1.238978	0	Pec
-44	NA1	NA	20	0.7438505714	0.65225789544	0.77385267	0.481135	0.4313868	0.548207	0	Pec
-44	NA1	NA	50	0.7438505714	0.470588	0.85331584	0.481135	0.312281	0.744066	0	Pec
-44	NA1	NA	80	0.7438505714	0.027173588022	0.91043151842	0.481135	0.131048	0.9411898	0	Pec
-44	NANA	NA	20	0.04464085517	0.033357822192	0.10393536668	0.715953	0.6170286	0.7901334	0	Pec
-44	NANA	NA	50	0.04464085517	0.02390399444	0.636364	0.715953	0.416953	0.952666	0	Pec
-44	NANA	NA	80	0.04464085517	0.013276732654	0.84085416624	0.715953	0.2370038	1.160656	0	Pec
-43	00	NA	20	0.02900791587	0.024808169316	0.0339265084	0.887675	0.8010156	0.9695584	1	Pec
-43	00	NA	50	0.02900791587	0.0188957666575	0.0469458948025	0.887675	0.632529	1.0890625	1	Pec
-43	00	NA	80	0.02900791587	0.011917762837	0.42011819591	0.887675	0.429246	1.263326	1	Pec
-43	01	NA	20	0.4620368788	0.06468182105	0.6983017368	0.65708	0.564067	0.757924	0	Pec
-43	01	NA	50	0.4620368788	0.02896054074	0.8369915185	0.65708	0.439614	0.946939	0	Pec
-43	01	NA	80	0.4620368788	0.01628061333	0.9018944667	0.65708	0.305883	1.17193	0	Pec
-43	0NA	NA	20	0.02832076964	0.023109361	0.036201812592	0.8462235	0.7126448	0.9048654	0	Pec
-43	0NA	NA	50	0.02832076964	0.0184413888075	0.0703355887325	0.8462235	0.51472725	1.0391025	0	Pec
-43	0NA	NA	80	0.02832076964	0.010413630931	0.49694339997	0.8462235	0.2735966	1.268218	0	Pec
-43	10	NA	20	0.73858955785	0.64735204762	0.80440244164	0.55134	0.4886616	0.6159262	0	Pec
-43	10	NA	50	0.73858955785	0.407329257625	0.867767522725	0.55134	0.3864125	0.77430475	0	Pec
-43	10	NA	80	0.73858955785	0.038472393939	0.9091511875	0.55134	0.2758498	1.0045649	0	Pec
-43	11	NA	20	0.7844844963	0.727273	0.82747085	0.5323055	0.465429	0.605528	1	Pec
-43	11	NA	50	0.7844844963	0.574437695825	0.873958593025	0.5323055	0.364663	0.74777575	1	Pec
-43	11	NA	80	0.7844844963	0.05089732976	0.91676136665	0.5323055	0.2315825	0.9888925	1	Pec
-43	1NA	NA	20	0.77090515	0.6520773057	0.81490927938	0.546043	0.4623662	0.6066508	0	Pec
-43	1NA	NA	50	0.77090515	0.470326738625	0.87897174875	0.546043	0.38560925	0.75119075	0	Pec
-43	1NA	NA	80	0.77090515	0.049662234998	0.92109145568	0.546043	0.1891432	0.9742611	0	Pec
-43	NA0	NA	20	0.028028086665	0.022882414458	0.034451443156	0.806313	0.6879176	0.923213	0	Pec
-43	NA0	NA	50	0.028028086665	0.014052636415	0.0605156754825	0.806313	0.45969425	1.0588025	0	Pec
-43	NA0	NA	80	0.028028086665	0.008789051258	0.55152831664	0.806313	0.1626821	1.247779	0	Pec
-43	NA1	NA	20	0.7371049815	0.61504678184	0.77926391912	0.5057665	0.4148448	0.593208	0	Pec
