mean_binary_idx	mRNA
00	PE_Scaf10209_0.4
00	PE_Scaf1021_0.0
01	PE_Scaf1021_0.2
0NA	PE_Scaf1021_4.0
NANA	PE_Scaf1021_4.1
00	PE_Scaf1021_4.5
NA1	PE_Scaf10210_0.0
NA1	PE_Scaf10211_0.8
00	PE_Scaf10212_2.11
00	PE_Scaf10212_2.12
01	PE_Scaf10212_2.2
01	PE_Scaf10212_2.20
00	PE_Scaf10212_4.4
11	PE_Scaf10214_0.2
00	PE_Scaf10214_2.0
00	PE_Scaf10214_3.4
00	PE_Scaf10214_4.0
00	PE_Scaf10214_4.14
00	PE_Scaf10214_4.16
00	PE_Scaf10214_4.17
00	PE_Scaf10214_4.18
00	PE_Scaf10214_4.24
00	PE_Scaf10214_4.9
NA1	PE_Scaf10216_0.4
NA1	PE_Scaf10216_0.9
01	PE_Scaf10217_1.3
00	PE_Scaf10219_1.5
01	PE_Scaf10219_1.6
00	PE_Scaf10219_10.5
11	PE_Scaf10219_2.5
01	PE_Scaf10219_2.6
00	PE_Scaf10219_8.0
00	PE_Scaf10219_8.2
00	PE_Scaf10219_8.4
NA0	PE_Scaf10220_0.7
NA0	PE_Scaf10221_0.6
11	PE_Scaf10224_0.1
11	PE_Scaf10224_1.4
00	PE_Scaf10224_2.10
11	PE_Scaf10224_2.8
00	PE_Scaf10227_0.3
11	PE_Scaf10230_0.0
11	PE_Scaf10230_0.2
11	PE_Scaf10230_0.3
00	PE_Scaf10230_1.5
00	PE_Scaf10232_0.6
00	PE_Scaf10232_1.3
11	PE_Scaf10232_2.4
00	PE_Scaf10232_2.5
11	PE_Scaf10232_3.2
11	PE_Scaf10232_4.2
01	PE_Scaf10232_4.4
11	PE_Scaf10232_5.1
11	PE_Scaf10232_5.8
11	PE_Scaf10232_5.9
NA0	PE_Scaf10233_1.6
11	PE_Scaf10236_0.2
00	PE_Scaf10237_0.6
00	PE_Scaf10237_0.7
00	PE_Scaf10237_1.3
01	PE_Scaf10237_10.1
11	PE_Scaf10237_10.2
NA1	PE_Scaf10237_11.3
01	PE_Scaf10237_11.4
NA1	PE_Scaf10237_11.6
11	PE_Scaf10237_12.3
01	PE_Scaf10237_12.4
11	PE_Scaf10237_12.8
01	PE_Scaf10237_14.1
01	PE_Scaf10237_15.4
00	PE_Scaf10237_16.1
00	PE_Scaf10237_17.5
00	PE_Scaf10237_2.3
00	PE_Scaf10237_7.2
00	PE_Scaf10237_9.1
00	PE_Scaf10237_9.2
00	PE_Scaf10240_0.2
00	PE_Scaf10240_1.10
00	PE_Scaf10240_1.12
00	PE_Scaf10240_1.13
00	PE_Scaf10240_1.14
00	PE_Scaf10240_1.15
00	PE_Scaf10240_1.16
00	PE_Scaf10241_0.3
0NA	PE_Scaf10245_0.1
11	PE_Scaf10247_0.1
11	PE_Scaf10247_0.3
10	PE_Scaf10248_0.3
01	PE_Scaf10249_0.3
00	PE_Scaf1025_1.2
11	PE_Scaf1025_4.0
11	PE_Scaf1025_4.1
NA1	PE_Scaf1025_4.5
00	PE_Scaf10250_0.0
NA0	PE_Scaf10250_0.2
00	PE_Scaf10251_0.7
0NA	PE_Scaf10253_0.0
01	PE_Scaf10253_0.12
NA0	PE_Scaf10253_0.14
00	PE_Scaf10253_0.15
11	PE_Scaf10254_0.0
11	PE_Scaf10254_0.10
00	PE_Scaf10254_0.2
00	PE_Scaf10256_0.1
00	PE_Scaf10258_0.0
NANA	PE_Scaf10259_0.0
00	PE_Scaf1026_1.2
11	PE_Scaf1026_2.5
11	PE_Scaf1026_2.6
00	PE_Scaf1026_4.2
NA1	PE_Scaf10260_0.4
NANA	PE_Scaf10261_0.3
11	PE_Scaf10263_0.3
11	PE_Scaf10264_0.4
11	PE_Scaf10264_0.6
01	PE_Scaf10264_2.2
11	PE_Scaf10264_2.3
11	PE_Scaf10264_3.6
00	PE_Scaf10265_0.2
00	PE_Scaf10265_1.2
11	PE_Scaf10265_1.3
00	PE_Scaf10265_2.0
00	PE_Scaf10265_3.0
NA1	PE_Scaf10267_0.1
00	PE_Scaf10269_1.4
01	PE_Scaf10269_2.1
11	PE_Scaf10269_2.6
11	PE_Scaf10269_3.10
11	PE_Scaf10269_3.11
01	PE_Scaf10269_4.1
01	PE_Scaf10269_5.14
11	PE_Scaf10269_5.15
11	PE_Scaf10269_5.16
01	PE_Scaf10269_5.29
10	PE_Scaf10269_5.32
00	PE_Scaf10269_5.34
01	PE_Scaf10270_0.10
01	PE_Scaf10270_0.12
11	PE_Scaf10270_0.7
11	PE_Scaf10270_0.9
11	PE_Scaf10273_0.2
00	PE_Scaf10274_1.2
00	PE_Scaf10274_2.1
11	PE_Scaf10274_2.11
11	PE_Scaf10274_2.12
0NA	PE_Scaf10274_2.3
00	PE_Scaf10274_2.4
00	PE_Scaf10274_2.5
NANA	PE_Scaf10279_0.0
NA0	PE_Scaf10279_0.1
00	PE_Scaf10279_0.2
NANA	PE_Scaf10279_0.4
11	PE_Scaf10279_0.8
00	PE_Scaf10279_1.0
01	PE_Scaf10279_1.7
11	PE_Scaf10279_1.8
11	PE_Scaf10280_0.0
11	PE_Scaf10280_0.1
00	PE_Scaf10282_0.1
01	PE_Scaf10283_1.10
00	PE_Scaf10283_1.11
00	PE_Scaf10285_0.0
00	PE_Scaf10286_1.3
00	PE_Scaf10286_1.4
00	PE_Scaf10287_0.10
00	PE_Scaf10287_0.3
00	PE_Scaf10287_0.7
NA1	PE_Scaf10289_0.2
00	PE_Scaf10291_0.0
NANA	PE_Scaf10293_0.0
00	PE_Scaf10294_0.4
00	PE_Scaf10295_0.1
11	PE_Scaf10295_0.4
11	PE_Scaf10297_1.10
00	PE_Scaf10297_1.11
NA0	PE_Scaf10298_0.2
00	PE_Scaf10298_1.10
00	PE_Scaf10298_1.7
00	PE_Scaf10298_1.9
00	PE_Scaf10299_0.0
00	PE_Scaf10299_0.1
00	PE_Scaf10299_0.2
11	PE_Scaf10300_0.1
11	PE_Scaf10300_0.6
00	PE_Scaf10304_0.2
00	PE_Scaf10305_11.3
11	PE_Scaf10305_12.1
01	PE_Scaf10305_13.4
01	PE_Scaf10305_13.9
11	PE_Scaf10305_15.0
01	PE_Scaf10305_16.2
11	PE_Scaf10305_17.0
11	PE_Scaf10305_17.2
11	PE_Scaf10305_18.2
00	PE_Scaf10305_19.3
01	PE_Scaf10305_2.5
01	PE_Scaf10305_2.6
00	PE_Scaf10305_20.5
00	PE_Scaf10305_21.8
00	PE_Scaf10305_21.9
01	PE_Scaf10305_22.9
00	PE_Scaf10305_23.11
11	PE_Scaf10305_23.7
11	PE_Scaf10305_3.13
11	PE_Scaf10305_3.3
11	PE_Scaf10305_3.5
00	PE_Scaf10305_5.0
00	PE_Scaf10305_5.1
00	PE_Scaf10305_5.4
11	PE_Scaf10305_6.0
01	PE_Scaf10305_8.1
01	PE_Scaf10305_9.5
01	PE_Scaf10306_1.6
11	PE_Scaf10306_1.8
1NA	PE_Scaf10306_3.1
NA0	PE_Scaf10306_3.11
01	PE_Scaf10306_3.12
01	PE_Scaf10306_3.15
00	PE_Scaf10306_3.16
11	PE_Scaf10307_1.3
00	PE_Scaf10309_3.3
00	PE_Scaf10309_4.11
00	PE_Scaf10309_4.7
00	PE_Scaf10309_4.9
11	PE_Scaf1031_0.1
11	PE_Scaf1031_0.3
00	PE_Scaf10312_1.2
00	PE_Scaf10312_1.3
00	PE_Scaf10313_0.2
00	PE_Scaf10313_0.4
NA1	PE_Scaf10314_0.0
00	PE_Scaf10315_0.3
11	PE_Scaf10317_1.6
01	PE_Scaf10317_1.7
00	PE_Scaf10317_2.0
00	PE_Scaf10317_3.1
NA1	PE_Scaf10317_5.2
11	PE_Scaf10317_6.4
11	PE_Scaf10317_7.2
00	PE_Scaf10317_8.6
00	PE_Scaf10318_0.10
NA1	PE_Scaf10318_0.11
00	PE_Scaf10318_0.12
01	PE_Scaf10320_1.4
00	PE_Scaf10320_2.10
00	PE_Scaf10320_2.6
00	PE_Scaf10320_2.7
00	PE_Scaf10320_3.4
11	PE_Scaf10320_3.5
11	PE_Scaf10320_4.0
00	PE_Scaf10320_4.11
01	PE_Scaf10320_4.12
11	PE_Scaf10320_4.19
11	PE_Scaf10320_4.21
11	PE_Scaf10320_4.9
01	PE_Scaf10321_0.4
11	PE_Scaf10321_2.3
01	PE_Scaf10321_3.15
11	PE_Scaf10321_3.16
01	PE_Scaf10321_3.19
00	PE_Scaf10321_4.0
00	PE_Scaf10321_5.0
00	PE_Scaf10321_5.1
00	PE_Scaf10321_5.2
00	PE_Scaf10321_5.6
01	PE_Scaf10324_0.4
11	PE_Scaf10324_1.0
11	PE_Scaf10324_1.8
NA0	PE_Scaf10324_4.2
00	PE_Scaf10325_0.0
11	PE_Scaf10326_1.2
00	PE_Scaf10326_2.0
00	PE_Scaf10326_3.1
11	PE_Scaf10326_4.1
11	PE_Scaf10326_5.0
11	PE_Scaf10326_5.3
11	PE_Scaf10326_6.10
01	PE_Scaf10326_6.12
00	PE_Scaf10326_6.9
00	PE_Scaf10326_7.0
11	PE_Scaf10326_8.7
NA1	PE_Scaf10327_0.1
00	PE_Scaf1033_0.1
00	PE_Scaf1033_2.4
00	PE_Scaf1033_3.5
00	PE_Scaf1033_3.9
00	PE_Scaf10330_0.5
11	PE_Scaf10330_1.0
11	PE_Scaf10330_1.1
11	PE_Scaf10330_1.2
11	PE_Scaf10330_2.0
1NA	PE_Scaf10330_2.2
11	PE_Scaf10330_2.6
11	PE_Scaf10330_4.10
00	PE_Scaf10330_6.3
00	PE_Scaf10330_7.7
00	PE_Scaf10331_0.1
00	PE_Scaf10340_2.4
00	PE_Scaf10340_2.5
00	PE_Scaf10341_0.2
11	PE_Scaf10345_1.6
11	PE_Scaf10345_1.7
01	PE_Scaf10345_2.3
01	PE_Scaf10345_2.4
00	PE_Scaf10345_3.9
00	PE_Scaf10345_4.7
11	PE_Scaf1035_0.0
NA1	PE_Scaf1035_0.4
11	PE_Scaf1035_0.5
NA1	PE_Scaf10350_0.2
00	PE_Scaf10351_1.0
NA0	PE_Scaf10351_1.1
00	PE_Scaf10351_1.16
00	PE_Scaf10351_1.2
NA0	PE_Scaf10351_1.5
0NA	PE_Scaf10351_1.9
00	PE_Scaf10351_2.6
11	PE_Scaf10352_0.0
01	PE_Scaf10352_0.1
NA0	PE_Scaf10353_0.0
01	PE_Scaf10353_1.3
11	PE_Scaf10353_1.4
01	PE_Scaf10353_1.5
NANA	PE_Scaf10353_1.7
01	PE_Scaf10353_2.15
00	PE_Scaf10353_2.16
00	PE_Scaf10353_2.17
01	PE_Scaf10353_2.18
NA0	PE_Scaf10353_2.7
01	PE_Scaf10354_2.4
00	PE_Scaf10354_3.0
11	PE_Scaf10354_6.11
11	PE_Scaf10354_6.8
01	PE_Scaf10354_6.9
00	PE_Scaf10355_0.5
NA0	PE_Scaf10356_0.7
NA1	PE_Scaf10356_0.8
NA0	PE_Scaf10358_0.1
0NA	PE_Scaf10358_0.3
00	PE_Scaf10358_0.6
11	PE_Scaf10360_0.4
01	PE_Scaf10366_0.7
10	PE_Scaf10366_0.9
11	PE_Scaf10367_0.8
00	PE_Scaf10367_1.3
00	PE_Scaf10367_2.1
00	PE_Scaf10367_2.5
00	PE_Scaf10367_2.7
01	PE_Scaf10367_3.2
01	PE_Scaf10367_4.4
11	PE_Scaf10367_4.5
1NA	PE_Scaf1037_0.0
01	PE_Scaf1037_0.7
11	PE_Scaf1037_0.8
NA1	PE_Scaf10373_0.4
11	PE_Scaf10373_0.5
00	PE_Scaf10374_0.4
00	PE_Scaf10374_0.6
01	PE_Scaf10375_0.3
01	PE_Scaf10375_0.5
11	PE_Scaf10376_0.11
10	PE_Scaf10376_2.0
11	PE_Scaf10376_3.2
11	PE_Scaf10376_4.0
11	PE_Scaf10376_4.5
00	PE_Scaf10376_4.7
11	PE_Scaf10378_1.0
00	PE_Scaf10378_2.12
11	PE_Scaf10378_2.13
NA1	PE_Scaf10379_0.4
00	PE_Scaf1038_0.6
00	PE_Scaf10385_0.11
00	PE_Scaf10385_0.13
00	PE_Scaf10385_0.7
00	PE_Scaf10385_0.8
00	PE_Scaf10387_0.0
00	PE_Scaf10387_2.1
00	PE_Scaf10387_2.3
NA0	PE_Scaf10387_4.0
01	PE_Scaf10387_4.5
11	PE_Scaf10389_0.0
NA1	PE_Scaf10389_0.8
11	PE_Scaf10389_0.9
11	PE_Scaf10389_1.10
11	PE_Scaf10389_1.8
01	PE_Scaf10389_1.9
11	PE_Scaf10389_3.1
11	PE_Scaf10389_4.3
01	PE_Scaf10389_4.4
00	PE_Scaf10389_4.7
00	PE_Scaf10389_5.2
NA1	PE_Scaf1039_0.2
11	PE_Scaf1039_0.4
00	PE_Scaf10390_1.1
00	PE_Scaf10390_11.8
00	PE_Scaf10390_12.10
11	PE_Scaf10390_2.16
11	PE_Scaf10390_2.5
11	PE_Scaf10390_3.0
00	PE_Scaf10390_6.0
00	PE_Scaf10395_1.10
00	PE_Scaf10395_1.8
NANA	PE_Scaf10397_0.0
00	PE_Scaf104_0.6
01	PE_Scaf1040_1.4
00	PE_Scaf1040_1.5
01	PE_Scaf1040_2.5
01	PE_Scaf1040_2.6
01	PE_Scaf1040_3.2
11	PE_Scaf1040_4.0
11	PE_Scaf1040_4.3
11	PE_Scaf1040_5.4
11	PE_Scaf1040_5.6
11	PE_Scaf1040_6.4
00	PE_Scaf1040_7.13
01	PE_Scaf1040_7.7
00	PE_Scaf10405_2.0
01	PE_Scaf10405_2.4
00	PE_Scaf10405_3.4
11	PE_Scaf10410_0.0
11	PE_Scaf10410_0.1
01	PE_Scaf10410_0.5
11	PE_Scaf10410_1.5
01	PE_Scaf10410_1.6
10	PE_Scaf10410_1.7
01	PE_Scaf10410_2.2
01	PE_Scaf10410_3.4
01	PE_Scaf10410_3.5
00	PE_Scaf10410_4.2
00	PE_Scaf10410_5.0
01	PE_Scaf10410_5.4
01	PE_Scaf10410_5.5
00	PE_Scaf10411_0.1
01	PE_Scaf10411_0.3
01	PE_Scaf10411_1.15
01	PE_Scaf10411_1.8
11	PE_Scaf10411_1.9
00	PE_Scaf10413_0.0
00	PE_Scaf10415_0.4
00	PE_Scaf10415_0.5
01	PE_Scaf10417_1.4
00	PE_Scaf10418_0.4
NA0	PE_Scaf10419_0.1
00	PE_Scaf10419_2.0
00	PE_Scaf10419_3.1
00	PE_Scaf10419_3.3
01	PE_Scaf10419_4.3
11	PE_Scaf10419_4.4
00	PE_Scaf10420_5.1
01	PE_Scaf10420_6.5
01	PE_Scaf10420_6.8
01	PE_Scaf10420_7.10
00	PE_Scaf10422_1.1
00	PE_Scaf10422_1.8
NA0	PE_Scaf10422_1.9
11	PE_Scaf10424_0.5
1NA	PE_Scaf10424_0.6
11	PE_Scaf1043_0.0
01	PE_Scaf1043_0.11
11	PE_Scaf1043_0.19
00	PE_Scaf10431_0.2
01	PE_Scaf10432_0.4
01	PE_Scaf10435_0.0
00	PE_Scaf10435_0.3
NA0	PE_Scaf10437_0.6
00	PE_Scaf10437_0.7
00	PE_Scaf10437_1.4
00	PE_Scaf10437_2.7
00	PE_Scaf10437_2.9
00	PE_Scaf10438_0.0
11	PE_Scaf10439_0.6
11	PE_Scaf1044_0.2
10	PE_Scaf10440_0.2
