"orth_id"	"L1"	"meth"
"3358"	"Pec..R07B"	"methylated_gene-body"
"4459"	"Pec..R07B"	"methylated_gene-body"
"283"	"Pec..R07B"	"methylated_gene-body"
"4694"	"Pec..R07B"	"methylated_gene-body"
"3285"	"Pec..R07B"	"methylated_gene-body"
"4373"	"Pec..R07B"	"methylated_gene-body"
"3615"	"Pec..R07B"	"methylated_gene-body"
"3013"	"Pec..R07B"	"methylated_gene-body"
"676"	"Pec..R07B"	"methylated_gene-body"
"699"	"Pec..R07B"	"methylated_gene-body"
"247"	"Pec..R07B"	"methylated_gene-body"
"1507"	"Pec..R07B"	"methylated_gene-body"
"1476"	"Pec..R07B"	"methylated_gene-body"
"688"	"Pec..R07B"	"methylated_gene-body"
"560"	"Pec..R07B"	"methylated_gene-body"
"1948"	"Pec..R07B"	"methylated_gene-body"
"946"	"Pec..R07B"	"methylated_gene-body"
"598"	"Pec..R07B"	"methylated_gene-body"
"2833"	"Pec..R07B"	"methylated_gene-body"
"3741"	"Pec..R07B"	"methylated_gene-body"
"3975"	"Pec..R07B"	"methylated_gene-body"
"636"	"Pec..R07B"	"methylated_gene-body"
"956"	"Pec..R07B"	"methylated_gene-body"
"1946"	"Pec..R07B"	"methylated_gene-body"
"4896"	"Pec..R07B"	"methylated_gene-body"
"1734"	"Pec..R07B"	"methylated_gene-body"
"4716"	"Pec..R07B"	"methylated_gene-body"
"1194"	"Pec..R07B"	"methylated_gene-body"
"3171"	"Pec..R07B"	"methylated_gene-body"
"3537"	"Pec..R07B"	"methylated_gene-body"
"2547"	"Pec..R07B"	"methylated_gene-body"
"1323"	"Pec..R07B"	"methylated_gene-body"
"528"	"Pec..R07B"	"methylated_gene-body"
"1745"	"Pec..R07B"	"methylated_gene-body"
"2278"	"Pec..R07B"	"methylated_gene-body"
"1304"	"Pec..R07B"	"methylated_gene-body"
"2358"	"Pec..R07B"	"methylated_gene-body"
"4565"	"Pec..R07B"	"methylated_gene-body"
"448"	"Pec..R07B"	"methylated_gene-body"
"2773"	"Pec..R07B"	"methylated_gene-body"
"593"	"Pec..R07B"	"methylated_gene-body"
"3457"	"Pec..R07B"	"methylated_gene-body"
"4427"	"Pec..R07B"	"methylated_gene-body"
"2323"	"Pec..R07B"	"methylated_gene-body"
"705"	"Pec..R07B"	"methylated_gene-body"
"1064"	"Pec..R07B"	"methylated_gene-body"
