mean_binary_idx	mRNA
00	augustus_masked-ctg12_pilon-processed-gene-19.30-mRNA-1
10	augustus_masked-ctg12_pilon-processed-gene-20.41-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-21.93-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-22.7-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-22.8-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-23.7-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-24.6-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-26.25-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-28.24-mRNA-1
11	augustus_masked-ctg12_pilon-processed-gene-3.99-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-30.9-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-31.3-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-34.17-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-34.18-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-36.21-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-6.12-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-6.7-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-7.32-mRNA-1
01	augustus_masked-ctg12_pilon-processed-gene-8.46-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-8.47-mRNA-1
01	augustus_masked-ctg12_pilon-processed-gene-8.55-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-9.13-mRNA-1
01	augustus_masked-ctg120_pilon-processed-gene-10.21-mRNA-1
00	augustus_masked-ctg120_pilon-processed-gene-11.27-mRNA-1
00	augustus_masked-ctg120_pilon-processed-gene-11.28-mRNA-1
00	augustus_masked-ctg120_pilon-processed-gene-2.3-mRNA-1
00	augustus_masked-ctg1201_pilon-processed-gene-0.52-mRNA-1
00	augustus_masked-ctg1204_pilon-processed-gene-0.18-mRNA-1
00	augustus_masked-ctg1204_pilon-processed-gene-1.4-mRNA-1
00	augustus_masked-ctg1205_pilon-processed-gene-0.99-mRNA-1
00	augustus_masked-ctg121_pilon-processed-gene-1.14-mRNA-1
00	augustus_masked-ctg121_pilon-processed-gene-12.6-mRNA-1
00	augustus_masked-ctg121_pilon-processed-gene-2.22-mRNA-1
00	augustus_masked-ctg121_pilon-processed-gene-7.2-mRNA-1
11	augustus_masked-ctg121_pilon-processed-gene-9.31-mRNA-1
00	augustus_masked-ctg1215_pilon-processed-gene-0.5-mRNA-1
10	augustus_masked-ctg122_pilon-processed-gene-0.8-mRNA-1
00	augustus_masked-ctg122_pilon-processed-gene-1.8-mRNA-1
00	augustus_masked-ctg122_pilon-processed-gene-2.8-mRNA-1
00	augustus_masked-ctg122_pilon-processed-gene-8.22-mRNA-1
00	augustus_masked-ctg122_pilon-processed-gene-8.29-mRNA-1
00	augustus_masked-ctg122_pilon-processed-gene-9.49-mRNA-1
00	augustus_masked-ctg122_pilon-processed-gene-9.55-mRNA-1
00	augustus_masked-ctg1220_pilon-processed-gene-0.56-mRNA-1
00	augustus_masked-ctg1220_pilon-processed-gene-0.69-mRNA-1
00	augustus_masked-ctg1220_pilon-processed-gene-0.70-mRNA-1
00	augustus_masked-ctg1224_pilon-processed-gene-0.26-mRNA-1
00	augustus_masked-ctg1228_pilon-processed-gene-0.16-mRNA-1
00	augustus_masked-ctg123_pilon-processed-gene-1.5-mRNA-1
00	augustus_masked-ctg123_pilon-processed-gene-2.36-mRNA-1
00	augustus_masked-ctg123_pilon-processed-gene-3.39-mRNA-1
00	augustus_masked-ctg1231_pilon-processed-gene-0.12-mRNA-1
00	augustus_masked-ctg1232_pilon-processed-gene-0.4-mRNA-1
00	augustus_masked-ctg1239_pilon-processed-gene-0.23-mRNA-1
00	augustus_masked-ctg124_pilon-processed-gene-0.17-mRNA-1
00	augustus_masked-ctg124_pilon-processed-gene-0.18-mRNA-1
00	augustus_masked-ctg124_pilon-processed-gene-4.4-mRNA-1
00	augustus_masked-ctg1241_pilon-processed-gene-0.27-mRNA-1
00	augustus_masked-ctg1244_pilon-processed-gene-0.13-mRNA-1
00	augustus_masked-ctg1244_pilon-processed-gene-0.14-mRNA-1
00	augustus_masked-ctg125_pilon-processed-gene-0.0-mRNA-1
00	augustus_masked-ctg125_pilon-processed-gene-1.61-mRNA-1
00	augustus_masked-ctg125_pilon-processed-gene-6.0-mRNA-1
00	augustus_masked-ctg125_pilon-processed-gene-7.23-mRNA-1
00	augustus_masked-ctg125_pilon-processed-gene-7.38-mRNA-1
10	augustus_masked-ctg125_pilon-processed-gene-7.39-mRNA-1
00	augustus_masked-ctg1256_pilon-processed-gene-0.1-mRNA-1
00	augustus_masked-ctg1258_pilon-processed-gene-0.47-mRNA-1
11	augustus_masked-ctg126_pilon-processed-gene-0.29-mRNA-1
00	augustus_masked-ctg126_pilon-processed-gene-9.10-mRNA-1
00	augustus_masked-ctg126_pilon-processed-gene-9.21-mRNA-1
00	augustus_masked-ctg126_pilon-processed-gene-9.9-mRNA-1
00	augustus_masked-ctg1262_pilon-processed-gene-0.10-mRNA-1
00	augustus_masked-ctg1267_pilon-processed-gene-0.36-mRNA-1
00	augustus_masked-ctg1268_pilon-processed-gene-0.19-mRNA-1
00	augustus_masked-ctg127_pilon-processed-gene-10.13-mRNA-1
00	augustus_masked-ctg127_pilon-processed-gene-10.2-mRNA-1
00	augustus_masked-ctg127_pilon-processed-gene-11.43-mRNA-1
01	augustus_masked-ctg127_pilon-processed-gene-12.41-mRNA-1
10	augustus_masked-ctg127_pilon-processed-gene-15.26-mRNA-1
00	augustus_masked-ctg127_pilon-processed-gene-5.28-mRNA-1
00	augustus_masked-ctg127_pilon-processed-gene-9.35-mRNA-1
00	augustus_masked-ctg127_pilon-processed-gene-9.46-mRNA-1
00	augustus_masked-ctg1271_pilon-processed-gene-0.5-mRNA-1
01	augustus_masked-ctg1278_pilon-processed-gene-0.1-mRNA-1
00	augustus_masked-ctg128_pilon-processed-gene-0.9-mRNA-1
00	augustus_masked-ctg128_pilon-processed-gene-1.14-mRNA-1
00	augustus_masked-ctg128_pilon-processed-gene-1.15-mRNA-1
11	augustus_masked-ctg128_pilon-processed-gene-3.12-mRNA-1
00	augustus_masked-ctg128_pilon-processed-gene-3.18-mRNA-1
00	augustus_masked-ctg128_pilon-processed-gene-4.23-mRNA-1
00	augustus_masked-ctg128_pilon-processed-gene-5.28-mRNA-1
11	augustus_masked-ctg1280_pilon-processed-gene-0.103-mRNA-1
00	augustus_masked-ctg1280_pilon-processed-gene-0.89-mRNA-1
11	augustus_masked-ctg1280_pilon-processed-gene-0.91-mRNA-1
00	augustus_masked-ctg1284_pilon-processed-gene-0.58-mRNA-1
00	augustus_masked-ctg1285_pilon-processed-gene-0.72-mRNA-1
00	augustus_masked-ctg1289_pilon-processed-gene-0.65-mRNA-1
00	augustus_masked-ctg1289_pilon-processed-gene-0.76-mRNA-1
00	augustus_masked-ctg129_pilon-processed-gene-2.58-mRNA-1
00	augustus_masked-ctg129_pilon-processed-gene-2.63-mRNA-1
11	augustus_masked-ctg1297_pilon-processed-gene-0.0-mRNA-1
00	augustus_masked-ctg13_pilon-processed-gene-0.14-mRNA-1
01	augustus_masked-ctg13_pilon-processed-gene-10.46-mRNA-1
00	augustus_masked-ctg13_pilon-processed-gene-11.26-mRNA-1
00	augustus_masked-ctg13_pilon-processed-gene-16.7-mRNA-1
10	augustus_masked-ctg13_pilon-processed-gene-18.5-mRNA-1
11	augustus_masked-ctg13_pilon-processed-gene-2.110-mRNA-1
11	augustus_masked-ctg13_pilon-processed-gene-2.111-mRNA-1
00	augustus_masked-ctg13_pilon-processed-gene-2.123-mRNA-1
00	augustus_masked-ctg13_pilon-processed-gene-25.70-mRNA-1
00	augustus_masked-ctg13_pilon-processed-gene-26.50-mRNA-1
01	augustus_masked-ctg13_pilon-processed-gene-3.43-mRNA-1
11	augustus_masked-ctg13_pilon-processed-gene-5.34-mRNA-1
10	augustus_masked-ctg13_pilon-processed-gene-8.25-mRNA-1
00	augustus_masked-ctg130_pilon-processed-gene-3.37-mRNA-1
00	augustus_masked-ctg1301_pilon-processed-gene-0.1-mRNA-1
11	augustus_masked-ctg1308_pilon-processed-gene-0.9-mRNA-1
00	augustus_masked-ctg1309_pilon-processed-gene-0.11-mRNA-1
11	augustus_masked-ctg131_pilon-processed-gene-1.43-mRNA-1
00	augustus_masked-ctg131_pilon-processed-gene-4.9-mRNA-1
00	augustus_masked-ctg131_pilon-processed-gene-5.29-mRNA-1
00	augustus_masked-ctg1310_pilon-processed-gene-0.0-mRNA-1
01	augustus_masked-ctg1311_pilon-processed-gene-0.1-mRNA-1
00	augustus_masked-ctg1311_pilon-processed-gene-0.7-mRNA-1
11	augustus_masked-ctg132_pilon-processed-gene-1.16-mRNA-1
00	augustus_masked-ctg132_pilon-processed-gene-3.16-mRNA-1
00	augustus_masked-ctg132_pilon-processed-gene-3.17-mRNA-1
00	augustus_masked-ctg132_pilon-processed-gene-4.25-mRNA-1
00	augustus_masked-ctg133_pilon-processed-gene-1.14-mRNA-1
00	augustus_masked-ctg133_pilon-processed-gene-2.65-mRNA-1
00	augustus_masked-ctg133_pilon-processed-gene-3.0-mRNA-1
00	augustus_masked-ctg133_pilon-processed-gene-4.0-mRNA-1
