#chromosome = contig_id
#window_idx = genomic window index
#nanop_meth_frequency = mean methylation frequency from Nanopore data
#wgbs_meth_frequency = mean methylation frequency from WGBS data
#
chromosome	window_idx	nanop_meth_frequency	wgbs_meth_frequency
ctg1111_pilon	0.0	0.029918779180483183	0.03146997163903364
ctg1112_pilon	0.0	0.48361151297863764	0.4674038441757356
ctg1113_pilon	0.0	0.1279621679360602	0.130132435025858
ctg1114_pilon	0.0	0.6023157609623734	0.6129142281837916
ctg1115_pilon	0.0	0.026646374765948184	0.026592562094491616
ctg1116_pilon	0.0	0.09576869317406143	0.09306742549061434
ctg1117_pilon	0.0	0.40985916603952566	0.40235431999209487
ctg1118_pilon	0.0	0.26539563857523624	0.27496765714804944
ctg1119_pilon	0.0	0.26502672256477533	0.26289993824204655
ctg111_pilon	0.0	0.7018772612836224	0.7162694760618963
ctg1120_pilon	0.0	0.2614233808440933	0.2635586037964926
ctg1121_pilon	0.0	0.4637641158473954	0.4711143924798239
ctg1122_pilon	0.0	0.73953549	0.7628438434701493
ctg1123_pilon	0.0	0.11278085572570809	0.11382366040113837
ctg1124_pilon	0.0	0.06685428816948345	0.0655300227326827
ctg1125_pilon	0.0	0.24889721837485843	0.24679836710079275
ctg1126_pilon	0.0	0.03437766424159231	0.026238162411347517
ctg1127_pilon	0.0	0.2320052101393095	0.23134784986069049
ctg1128_pilon	0.0	0.03323503802153432	0.029760540711081203
ctg1129_pilon	0.0	0.1176611759119861	0.11946713977996526
ctg112_pilon	0.0	0.30047257865580745	0.298060570423362
ctg1130_pilon	0.0	0.1809318620576132	0.17674903527924749
ctg1131_pilon	0.0	0.17850439990636702	0.18887233976123596
